Iripa-keyword,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2023 - September 30, 2024",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024
obras de construccion,EUR,40,33%,-20%,Low,19,0.09,0.23,,,,,,40,50,30,20,40,50,40,40,40,30,30,40
servicios de construcción,EUR,20,0%,0%,High,68,0.07,0.23,,,,,,210,10,10,10,10,10,10,10,10,10,10,10
servicios de obra civil,EUR,10,0%,-100%,Unknown,,,,,,,,,0,10,10,0,0,10,10,10,0,0,0,0
obras y servicios,EUR,10,-50%,-50%,Medium,38,0.08,0.13,,,,,,10,20,10,10,10,10,10,10,10,20,10,10
obra civil,EUR,50,33%,-56%,Low,19,0.07,0.20,,,,,,50,90,30,20,30,70,50,70,30,30,70,40
construccion civil,EUR,10,0%,0%,Medium,43,,,,,,,,20,10,10,10,10,20,10,10,10,10,10,10
obras construcción,EUR,30,-33%,-50%,Medium,34,0.09,0.20,,,,,,20,30,20,50,30,20,40,30,30,30,20,20
presupuesto obra casa,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
construcciones,EUR,210,0%,-19%,Low,30,0.07,0.23,,,,,,170,170,170,390,170,140,390,260,210,170,210,170
técnico en construcción,EUR,20,0%,-33%,Medium,50,0.05,0.11,,,,,,20,20,20,20,20,20,40,10,20,20,10,20
contratista de construcción,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,10,10,10,10,10,0
ingenieria en construccion civil,EUR,10,∞,0%,Low,0,,,,,,,,10,20,10,10,10,10,10,10,10,0,10,10
construcción de naves industriales,EUR,10,0%,0%,Medium,43,0.15,0.30,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
construccion naves industriales,EUR,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
ingenieria civil en obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructora de naves industriales,EUR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
constructor civil,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,10,10,10,10,0,10,10,0
construccion piscina,EUR,10,-67%,0%,Medium,37,,,,,,,,0,10,10,10,10,10,10,10,10,30,10,10
construccion de piscina,EUR,20,100%,0%,Medium,64,0.05,0.10,,,,,,20,40,20,40,20,10,20,20,10,10,10,20
ingeniero en construccion,EUR,10,0%,0%,Low,24,,,,,,,,10,20,20,10,10,10,10,10,10,10,10,10
empresa de construcción y reformas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
reformas y construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
obras civiles,EUR,50,33%,-56%,Low,19,0.07,0.20,,,,,,50,90,30,20,30,70,50,70,30,30,70,40
direccion de proyectos de construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios unitarios de construcción,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,10,0,0,10,0,10,10,0
proyectos de construcción,EUR,10,0%,0%,High,71,,,,,,,,10,10,0,10,10,10,10,10,10,10,10,10
precio construccion nave industrial,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precios unitarios de construcción 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ingenieria en obras civiles,EUR,10,∞,0%,Low,0,,,,,,,,10,0,10,0,0,10,10,10,10,0,0,10
técnico en construcción civil,EUR,10,0%,∞,Medium,57,,,,,,,,10,10,0,0,0,0,0,10,0,10,0,10
constructora naves industriales,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,10,0,10,0
compañias de construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
construcción de viviendas,EUR,20,100%,100%,Medium,66,0.08,0.20,,,,,,20,20,10,40,30,10,20,20,20,10,10,20
servicios de construcción y remodelación,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0
contratista construccion,EUR,10,0%,0%,Low,0,,,,,,,,10,0,0,10,0,10,10,10,10,10,10,10
empresas de obra civil,EUR,10,0%,0%,Low,0,,,,,,,,0,0,10,10,10,10,10,10,10,10,0,10
constructoras de edificios,EUR,10,0%,0%,Medium,48,0.11,0.41,,,,,,10,0,0,0,10,10,10,10,10,10,10,10
construcción e ingeniería civil,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,0,0,0,0,0,0,0,0
presupuestos de construccion,EUR,10,0%,0%,Medium,45,0.07,0.20,,,,,,10,20,10,30,20,20,10,10,10,10,10,10
construcción civil vespertino,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
empresas de construcción civil,EUR,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,0,0,10,0,0,0,0
construccion y remodelacion,EUR,10,∞,0%,Low,0,,,,,,,,0,10,0,10,10,10,0,10,0,0,10,10
presupuesto construccion piscina,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
construcción de piscinas de obra,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,10,10,0,0,0,0,0,0,0,0
obra civil y construcciones,EUR,10,0%,-100%,Unknown,,,,,,,,,10,10,0,0,10,10,0,0,10,0,10,0
construcción civil universidades,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
presupuestos de obras de construccion,EUR,10,∞,0%,Low,29,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10
niro construcciones,EUR,10,∞,0%,Low,5,,,,,,,,0,0,10,0,10,10,10,10,10,0,10,10
empresa de construcciones,EUR,10,0%,∞,High,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
obras en construcción,EUR,110,22%,0%,Low,10,0.08,0.20,,,,,,140,110,90,90,90,90,110,110,110,90,110,110
construccion piscina hormigon,EUR,10,∞,∞,Medium,43,,,,,,,,10,0,10,10,0,0,0,10,10,0,10,10
construccion de piscina de hormigon,EUR,10,0%,0%,Medium,64,0.05,0.12,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
universidades con ingenieria en construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion piscina obra,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicios de construcción y mantenimiento,EUR,10,∞,∞,Low,0,,,,,,,,0,10,10,0,0,10,0,0,10,0,0,10
precio construcción m2,EUR,50,-50%,-78%,Medium,39,0.05,0.19,,,,,,50,70,50,110,30,40,50,70,30,40,50,20
construcción piscina,EUR,10,-67%,0%,Medium,37,,,,,,,,0,10,10,10,10,10,10,10,10,30,10,10
proyectos de obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,0,10,10,10,0,0,0,0
ingeniero de construccion,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,0
permiso de edificacion,EUR,10,0%,0%,Low,3,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
ingeniería en construcción civil universidades,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicios de remodelacion y construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0
proyectos en construccion,EUR,10,-100%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,0,10,0,10,0,0
ospacp como afiliarse,EUR,20,-50%,-67%,Low,29,,,,,,,,30,20,20,40,40,20,20,10,10,20,10,10
presupuestos construccion casa,EUR,10,∞,0%,High,86,,,,,,,,10,10,0,10,10,10,10,10,10,0,0,10
técnico en construcción santo tomás,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios de obras de construccion,EUR,10,0%,0%,Medium,36,0.08,0.14,,,,,,10,10,10,20,10,20,10,10,10,10,10,10
construccion civil santo tomas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
técnico en construcción y obras civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
presupuesto para obra de construccion,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,0,0,0
presupuesto para piscina de obra,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
presupuesto construcción,EUR,10,0%,0%,Medium,41,0.16,1.06,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
gestion de la construccion civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gestion de obras civiles,EUR,10,-100%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,10,0,0
ingeniería en construcción puntaje,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
construccion civil on line,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
3 construcciones,EUR,10,0%,∞,Medium,35,0.08,0.17,,,,,,10,10,0,10,10,10,10,10,10,10,10,10
3.7 obra civil y construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
360 obra civil y construccion sl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
actividades de construccion y servicios,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
actividades de construcción civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
actividades de construcción y servicios,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
actividades de obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
aeropuertos obra civil sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
africana contratas y construcciones sl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
africana de contratas y construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
ag vial construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,10,0,0,0,0,0,0
alta proyectos y construccion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
alza construcciones,EUR,20,0%,-33%,Low,6,,,,,,,,10,20,20,10,30,20,20,40,10,20,20,20
amyc construcciones srl,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
angel boscarino construcciones sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
antis obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
antis obra civil sl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
aransa construccion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
aransa construccion y obra civil sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
arinco construcciones,EUR,10,0%,0%,Low,24,0.07,0.20,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
arquitectura y construcción pdf,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,10,10,10,0,0,10,10,0
arquitectura y obras civiles,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
artes y construcciones srl,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
asesoramiento construccion,EUR,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,10,0,0,0,0,0,0
asesorias en construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,10,0,0,0,0,0
asfaltos y construcciones elsan sa,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
astori construcciones,EUR,70,0%,0%,Low,32,0.08,0.19,,,,,,40,90,50,90,50,50,40,50,50,70,70,70
astori construcciones sa,EUR,10,0%,0%,Low,25,,,,,,,,0,10,10,10,0,10,10,10,10,10,10,10
atencion al usuario vialidad nacional,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
begar construcciones y contratas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
bidesa obras viales y civiles sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
bolskan obra civil y ferroviaria,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
brick macro ingenieria en construcción civil electrica y suministros,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
brundl construcciones sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
busco constructor civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
busco obra particulares construcción,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
c & e construcciones,EUR,10,0%,0%,Low,0,,,,,,,,0,0,0,0,10,0,0,10,10,10,0,10
c & e construcciones sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cabo de obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
calcaterra construcciones srl,EUR,10,∞,0%,Low,0,,,,,,,,10,10,0,0,0,0,0,0,0,0,10,10
calidad de la construcción en obras civiles,EUR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
calidad en construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
calidad en la construccion de obras civiles,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
calidad en obras civiles,EUR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
capeco construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
caputo construcciones y servicios,EUR,10,∞,∞,Low,29,,,,,,,,10,0,0,0,0,0,0,0,10,0,0,10
carreteras en construcción,EUR,10,∞,∞,Low,0,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,10
casas prefabricadas con piscina precio,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
casas prefabricadas lacustre reclamos,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
casas prefabricadas sin mantenimiento,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
cemar construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
