Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024
writer,EUR,50000,-90%,0%,Low,1,0.10,1.28,,,,,,,,,,,,,,,,,
corrector,EUR,50000,0%,0%,Low,32,0.01,0.02,,,,,,,,,,,,,,,,,
manuscritos,EUR,5000,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
proofreading,EUR,5000,0%,0%,Low,15,1.44,5.81,,,,,,,,,,,,,,,,,
correccion,EUR,5000,0%,0%,Low,0,0.01,0.05,,Articulos,,,,,,,,,,,,,,,
edicion,EUR,5000,0%,0%,Low,28,0.23,0.44,,Keywords,,,,,,,,,,,,,,,
corrector de textos,EUR,5000,-90%,0%,Low,15,0.01,0.05,,,,,,,,,,,,,,,,,
corrección de textos,EUR,5000,-90%,0%,Low,15,0.01,0.05,,,,,,,,,,,,,,,,,
corrector textos,EUR,5000,0%,900%,Low,14,0.01,0.04,,,,,,,,,,,,,,,,,
escritores,EUR,5000,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
informe de lectura,EUR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
esritores,EUR,500,0%,0%,Medium,56,,,,,,,,,,,,,,,,,,,
escritoras,EUR,500,0%,0%,Medium,56,,,,,,,,,,,,,,,,,,,
editoriales para publicar un libro,EUR,500,0%,0%,Medium,65,0.74,1.88,,,,,,,,,,,,,,,,,
edición de libros,EUR,500,0%,0%,Medium,55,0.41,1.11,,,,,,,,,,,,,,,,,
editorial de un libro,EUR,500,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
libros y escritores,EUR,500,0%,0%,High,84,,,,,,,,,,,,,,,,,,,
libros de la literatura,EUR,500,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
libros de edicion,EUR,500,0%,0%,Medium,55,0.41,1.11,,,,,,,,,,,,,,,,,
corrector de estilo,EUR,500,0%,0%,Low,17,0.03,0.51,,,,,,,,,,,,,,,,,
corrección de estilo,EUR,500,0%,0%,Low,16,0.20,0.72,,,,,,,,,,,,,,,,,
escritoras mujeres,EUR,500,0%,0%,Low,15,,,,,,,,,,,,,,,,,,,
publicar novela,EUR,50,0%,0%,Medium,54,0.49,1.35,,,,,,,,,,,,,,,,,
informe de lectura profesional,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
informe de lectura precio,EUR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
informe de lectura de una novela,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
informe de lectura editorial,EUR,50,900%,900%,Low,0,,,,,,,,,,,,,,,,,,,
editoriales para nuevos escritores,EUR,50,0%,0%,Medium,65,0.67,1.88,,,,,,,,,,,,,,,,,
ejemplo de informe de lectura de una novela,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
informe de lectura editorial ejemplo,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
informe de lectura de un libro,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
un informe de lectura,EUR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
el informe de lectura,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura que es,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
hacer informe de lectura,EUR,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
informes de lectura ejemplos,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
modelo de informe de lectura,EUR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
hacer un informe de lectura,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
elaborar un informe de lectura,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura de un texto,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
editoriales para publicar,EUR,50,0%,0%,Medium,38,0.81,2.18,,,,,,,,,,,,,,,,,
estructura de un informe de lectura,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura de un texto literario,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura estructura,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura de un cuento,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
partes de un informe de lectura,EUR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
informe de lectura ejemplos cortos,EUR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
libros sobre escritores,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
libros sobre la literatura,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
libros para escritores,EUR,50,0%,0%,High,97,0.10,0.55,,,,,,,,,,,,,,,,,
libros para literatura,EUR,50,∞,∞,Medium,46,,,,,,,,,,,,,,,,,,,
mejores libros para escritores,EUR,50,0%,0%,Medium,50,,,,,,,,,,,,,,,,,,,
libros de escritores,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
libros cortos de literatura,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
libros y sus escritores,EUR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
3 libros literarios,EUR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
autores de los mejores libros,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
el editorial de un libro,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
textos literarios libros,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
editorial en un libro,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
para escritores,EUR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,
la mejor literatura,EUR,50,0%,0%,Low,17,,,,,,,,,,,,,,,,,,,
literatura mejores libros,EUR,50,∞,0%,High,100,,,,,,,,,,,,,,,,,,,
libros con autor y editorial,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
literatura para,EUR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
autores de libros de literatura,EUR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
los mejores libros literarios,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
autores y sus libros,EUR,50,0%,0%,High,67,,,,,,,,,,,,,,,,,,,
escritores profesionales,EUR,50,0%,0%,Medium,43,,,,,,,,,,,,,,,,,,,
sitios para escritores,EUR,50,∞,∞,Low,10,,,,,,,,,,,,,,,,,,,
mejores autores de libros,EUR,50,0%,0%,High,88,,,,,,,,,,,,,,,,,,,
los mejores libros de escritores españoles,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
sitios web para escritores,EUR,50,∞,0%,Low,14,,,,,,,,,,,,,,,,,,,
los mejores novelistas,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
web para escritores,EUR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
webs para escritores,EUR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,
mejores libros de escritores españoles,EUR,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
escritores de relatos,EUR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
lo mejor de la literatura,EUR,50,0%,∞,High,100,,,,,,,,,,,,,,,,,,,
escritores de relatos cortos,EUR,50,0%,0%,Low,9,,,,,,,,,,,,,,,,,,,
pagina web para escritores,EUR,50,0%,0%,Low,31,,,,,,,,,,,,,,,,,,,
historia de escritores,EUR,50,0%,0%,High,68,,,,,,,,,,,,,,,,,,,
editorial del libro,EUR,50,0%,0%,Low,32,,,,,,,,,,,,,,,,,,,
publicar una obra,EUR,50,0%,0%,Low,29,,,,,,,,,,,,,,,,,,,
editorial en libros,EUR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
libro con editorial,EUR,50,0%,0%,Low,16,0.62,1.51,,,,,,,,,,,,,,,,,
edicion y publicacion,EUR,50,0%,∞,Low,29,,,,,,,,,,,,,,,,,,,
editorial literatura,EUR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,
